Found 525 materials
  mat_id   num_points        num_obs
     335      352,877    207,482,802
     132      353,372    206,871,403
     275      353,473    205,500,964
     320      355,117    208,091,294
     343      355,600    209,082,948
     347      355,703    209,140,938
     296      357,466    207,467,481
     235      357,794    209,085,133
     332      358,684    209,467,196
     230      360,517    209,919,864
     259      360,883    211,583,089
      34      361,433    209,889,975
     274      361,815    211,819,214
     273      363,127    212,626,713
     286      364,402    210,779,876
       8      364,718    169,140,209
     288      364,729    210,967,350
     280      365,614    211,085,092
     264      365,972    213,664,606
     136      366,387    214,127,271
     333      367,218    215,915,753
     139      367,844    216,402,923
     143      368,799    215,170,859
     146      369,236    212,279,845
     290      370,301    216,787,620
     209      371,071    214,823,537
     126      371,578    203,001,593
     145      371,844    215,817,018
     295      373,132    217,709,626
     242      373,487    216,410,460
      52      376,320    218,516,340
     348      377,759    222,492,297
      27      378,193    203,508,125
     268      379,789    222,724,402
     325      379,805    223,319,735
     341      380,114    223,481,395
      35      381,011    220,531,266
     234      381,255    221,626,973
     285      381,606    221,506,598
     144      382,629    222,361,766
     334      383,118    222,964,992
     148      386,905    225,392,581
     271      387,367    225,209,672
     212      387,736    226,777,083
       5      389,240    183,825,337
     260      390,194    227,621,462
     262      390,673    227,723,879
     245      391,941    228,716,511
     276      395,077    230,101,157
     344      395,098    230,716,073
     439      396,065    231,301,960
     257      396,753    231,441,350
       7      396,762    180,811,306
     317      396,916    232,579,798
     246      397,962    231,890,794
     314      398,446    233,477,298
      43      399,564    234,424,266
     284      400,335    230,816,391
     270      400,455    229,981,139
      48      400,715    233,060,152
     233      402,626    233,699,296
     152      404,337    233,455,676
     153      405,404    233,078,473
      11      405,864    172,356,122
     238      407,257    237,132,585
     329      408,263    238,014,173
      37      408,305    237,646,577
     232      408,859    237,744,147
     218      409,877    238,529,324
     300      411,142    238,028,080
     338      411,373    241,047,072
     243      412,268    242,278,523
     241      413,646    242,011,231
     151      416,096    239,650,584
     216      419,217    244,789,888
     327      425,883    250,833,833
     221      425,891    249,696,948
     225      426,110    250,235,618
       2      426,661    193,263,259
     287      428,186    246,811,268
     223      428,330    250,738,857
      51      432,162    249,623,051
     215      434,405    253,664,251
     217      434,773    255,153,174
     237      439,440    255,898,050
       1      441,198    207,736,822
     278      441,332    256,956,507
     211      447,937    260,662,427
      47      448,409    262,706,592
       9      451,582    209,058,398
     214      452,914    264,470,743
     236      452,975    265,995,243
     244      453,150    264,405,787
     283      453,176    260,773,521
     261      455,111    267,259,431
     210      456,581    266,153,323
      17      456,697    265,785,370
     226      464,342    270,832,236
       6      465,576    219,934,245
      14      467,517    271,431,046
      38      477,329    276,815,838
      19      479,625    277,428,692
      46      483,678    281,991,221
       0      492,876    228,865,715
     298      495,798    288,715,922
     239      496,231    291,510,597
      10      502,034    304,842,752
      33      505,859    292,895,514
      44      509,935    299,283,164
      16      512,511    298,010,987
      20      545,344    315,052,177
      49      582,871    339,155,620
      22      730,490    423,740,952
