==> initializing monitor ...
==> initializing trainer ...
You are using a CUDA device ('NVIDIA L40S') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
Epoch 0:  11%| | 56/512.0 [00:01<00:12, 37.12it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32757, 3])
Epoch 0:  11%| | 57/512.0 [00:01<00:12, 37.30it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32752, 3])
Epoch 0:  11%| | 58/512.0 [00:01<00:12, 37.48it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32755, 3])
Epoch 0:  12%| | 59/512.0 [00:01<00:12, 37.66it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32750, 3])
Epoch 0:  12%| | 60/512.0 [00:01<00:11, 37.82it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.160Le torch.Size([32754, 3])
Epoch 0:  12%| | 61/512.0 [00:01<00:11, 37.97it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32755, 3])
Epoch 0:  12%| | 62/512.0 [00:01<00:11, 38.12it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32752, 3])
Epoch 0:  12%| | 63/512.0 [00:01<00:11, 38.27it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32751, 3])
Epoch 0:  12%|▏| 64/512.0 [00:01<00:11, 38.41it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32749, 3])
Epoch 0:  13%|▏| 65/512.0 [00:01<00:11, 38.56it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.170Le torch.Size([32756, 3])
Epoch 0:  13%|▏| 66/512.0 [00:01<00:11, 38.70it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32749, 3])
Epoch 0:  13%|▏| 67/512.0 [00:01<00:11, 38.84it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32753, 3])
Epoch 0:  13%|▏| 68/512.0 [00:01<00:11, 38.95it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32743, 3])
Epoch 0:  13%|▏| 69/512.0 [00:01<00:11, 39.08it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.170Le torch.Size([32753, 3])
Epoch 0:  14%|▏| 70/512.0 [00:01<00:11, 39.20it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.170Le torch.Size([32749, 3])
Epoch 0:  14%|▏| 71/512.0 [00:01<00:11, 39.33it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32750, 3])
Epoch 0:  14%|▏| 72/512.0 [00:01<00:11, 39.43it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32748, 3])
Epoch 0:  14%|▏| 73/512.0 [00:01<00:11, 39.55it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32754, 3])
Epoch 0:  14%|▏| 74/512.0 [00:01<00:11, 39.67it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32752, 3])
Epoch 0:  15%|▏| 75/512.0 [00:01<00:10, 39.78it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32752, 3])
Epoch 0:  15%|▏| 76/512.0 [00:01<00:10, 39.88it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32751, 3])
Epoch 0:  15%|▏| 77/512.0 [00:01<00:10, 39.99it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32754, 3])
Epoch 0:  15%|▏| 78/512.0 [00:01<00:10, 40.10it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32742, 3])
Epoch 0:  15%|▏| 79/512.0 [00:01<00:10, 40.20it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32754, 3])
Epoch 0:  16%|▏| 80/512.0 [00:01<00:10, 40.31it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32751, 3])
Epoch 0:  16%|▏| 81/512.0 [00:02<00:10, 40.38it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.230Le torch.Size([32752, 3])
Epoch 0:  16%|▏| 82/512.0 [00:02<00:10, 40.48it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32753, 3])
Epoch 0:  16%|▏| 83/512.0 [00:02<00:10, 40.58it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32753, 3])
Epoch 0:  16%|▏| 84/512.0 [00:02<00:10, 40.68it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32751, 3])
Epoch 0:  17%|▏| 85/512.0 [00:02<00:10, 40.76it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32748, 3])
Epoch 0:  17%|▏| 86/512.0 [00:02<00:10, 40.86it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.230Le torch.Size([32745, 3])
Epoch 0:  17%|▏| 87/512.0 [00:02<00:10, 40.95it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32752, 3])
Epoch 0:  17%|▏| 88/512.0 [00:02<00:10, 41.04it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32748, 3])
Epoch 0:  17%|▏| 89/512.0 [00:02<00:10, 41.12it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32749, 3])
Epoch 0:  18%|▏| 90/512.0 [00:02<00:10, 41.21it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32751, 3])
Epoch 0:  18%|▏| 91/512.0 [00:02<00:10, 41.29it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32758, 3])
Epoch 0:  18%|▏| 92/512.0 [00:02<00:10, 41.37it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.220Le torch.Size([32755, 3])
